17/04/2021 18:20:21 -> {'name': 'Zotac Gaming GeForce RTX 3070 Twin Edge OC White', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/917-zotac-gaming-geforce-rtx-3070-twin-edge-oc-white-edition-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '649,95', 'lastStockTs': '22/01/2021 21:20:25', 'id': '79'} 
17/04/2021 18:20:22 -> {'name': 'Asus TUF GeForce RTX 3060 Ti OC Gaming 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/919-asus-tuf-geforce-rtx-3060-ti-oc-gaming-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '599,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '82'} 
17/04/2021 18:20:28 -> {'name': 'Zotac GeForce RTX 3060 Ti D6 Twin Edge OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/892-zotac-rtx-3060-ti-twin-edge-oc.html', 'status': 'OUT OF STOCK', 'price': '549,95', 'lastStockTs': '26/01/2021 19:29:39', 'id': '94'} 
17/04/2021 18:20:31 -> {'name': 'Gigabyte AORUS GeForce RTX 3070 MASTER 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/881-gigabyte-aorus-geforce-rtx-3070-master-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '849,95', 'lastStockTs': '28/01/2021 11:05:58', 'id': '102'} 
17/04/2021 18:20:38 -> {'name': 'Gigabyte GeForce RTX 3070 GAMING OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/847-gigabyte-geforce-rtx-3070-gaming-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '799,95', 'lastStockTs': '22/03/2021 15:13:37', 'id': '113'} 
17/04/2021 18:20:50 -> {'name': 'Palit GeForce RTX 3070 GAMEROCK OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/910-palit-geforce-rtx-3070-gamerock-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '669,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '138'} 
17/04/2021 18:20:52 -> {'name': 'Palit GeForce RTX 3070 GAMING PRO 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/879-palit-geforce-rtx-3070-gaming-pro-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '594,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '141'} 
17/04/2021 18:21:14 -> {'name': 'Gigabyte GeForce RTX 3070 VISION OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/862-gigabyte-geforce-rtx-3070-vision-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '799,95', 'lastStockTs': '26/01/2021 22:21:37', 'id': '4'} 
17/04/2021 18:21:20 -> {'name': 'Gigabyte GeForce RTX 3060 Ti AORUS MASTER', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/888-gigabyte-geforce-rtx-3060-ti-aorus-master.html', 'status': 'OUT OF STOCK', 'price': '649,95', 'lastStockTs': '21/01/2021 20:52:11', 'id': '16'} 
17/04/2021 18:21:33 -> {'name': 'Asus TUF Gaming GeForce RTX 3070 OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/912-asus-tuf-gaming-geforce-rtx-3070-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '809,95', 'lastStockTs': '16/04/2021 10:38:47', 'id': '39'} 
